index,wnid,imagenet_label,train_count,val_count
238,n02107574,Greater_Swiss_Mountain_dog,682,50
317,n02259212,leafhopper,682,50
470,n02948072,candle,682,50
325,n02281406,sulphur_butterfly,680,50
508,n03085013,computer_keyboard,679,50
224,n02105056,groenendael,678,50
964,n07875152,potpie,678,50
168,n02090379,redbone,677,50
944,n07718747,artichoke,677,50
488,n02999410,chain,676,50
135,n02013706,limpkin,674,50
645,n03733131,maypole,674,50
30,n01641577,bullfrog,672,50
849,n04398044,teapot,672,50
323,n02279972,monarch,670,50
157,n02086910,papillon,669,50
687,n03854065,organ,667,50
398,n02666196,abacus,666,50
474,n02963159,cardigan,665,50
758,n04067472,reel,665,50
963,n07873807,pizza,665,50
316,n02256656,cicada,664,50
786,n04179913,sewing_machine,664,50
347,n02410509,bison,663,50
435,n02808440,bathtub,661,50
456,n02879718,bow,661,50
509,n03089624,confectionery,661,50
900,n04562935,water_tower,661,50
935,n07711569,mashed_potato,661,50
359,n02443484,black-footed_ferret,660,50
75,n01774384,black_widow,659,50
341,n02395406,hog,659,50
874,n04487081,trolleybus,658,50
957,n07768694,pomegranate,654,50
79,n01784675,centipede,652,50
322,n02277742,ringlet,652,50
421,n02788148,bannister,652,50
576,n03447447,gondola,652,50
781,n04149813,scoreboard,652,50
345,n02403003,ox,651,50
562,n03388043,fountain,651,50
915,n04613696,yurt,651,50
438,n02815834,beaker,650,50
458,n02892201,brass,650,50
463,n02909870,bucket,650,50
149,n02074367,dugong,649,50
517,n03126707,crane,649,50
622,n03657121,lens_cap,649,50
925,n07584110,consomme,649,50
1,n01443537,goldfish,648,50
25,n01629819,European_fire_salamander,647,50
353,n02423022,gazelle,646,50
663,n03781244,monastery,646,50
936,n07714571,head_cabbage,646,50
115,n01950731,sea_slug,645,50
821,n04311004,steel_arch_bridge,643,50
250,n02110185,Siberian_husky,642,50
691,n03868863,oxygen_mask,642,50
142,n02033041,dowitcher,641,50
125,n01986214,hermit_crab,640,50
600,n03532672,hook,640,50
716,n03930313,picket_fence,640,50
923,n07579787,plate,640,50
114,n01945685,slug,638,50
177,n02092002,Scottish_deerhound,636,50
947,n07734744,mushroom,636,50
542,n03250847,drumstick,635,50
856,n04428191,thresher,634,50
424,n02791270,barbershop,633,50
888,n04532670,viaduct,633,50
218,n02102177,Welsh_springer_spaniel,632,50
329,n02321529,sea_cucumber,632,50
655,n03770439,miniskirt,632,50
354,n02437312,Arabian_camel,631,50
479,n02974003,car_wheel,631,50
128,n02002724,black_stork,630,50
678,n03814639,neck_brace,629,50
313,n02231487,walking_stick,628,50
850,n04399382,teddy,627,50
962,n07871810,meat_loaf,627,50
682,n03837869,obelisk,626,50
349,n02415577,bighorn,625,50
826,n04328186,stopwatch,625,50
109,n01917289,brain_coral,624,50
304,n02169497,leaf_beetle,624,50
735,n03980874,poncho,624,50
839,n04366367,suspension_bridge,624,50
406,n02699494,altar,623,50
992,n12998815,agaric,623,50
543,n03255030,dumbbell,622,50
652,n03763968,military_uniform,622,50
807,n04258138,solar_dish,622,50
929,n07615774,ice_lolly,622,50
318,n02264363,lacewing,621,50
320,n02268853,damselfly,621,50
573,n03444034,go-kart,621,50
950,n07747607,orange,621,50
71,n01770393,scorpion,620,50
946,n07730033,cardoon,619,50
107,n01910747,jellyfish,618,50
113,n01944390,snail,618,50
414,n02769748,backpack,618,50
448,n02843684,birdhouse,618,50
471,n02950826,cannon,618,50
739,n03992509,potter's_wheel,618,50
761,n04074963,remote_control,617,50
774,n04133789,sandal,617,50
967,n07920052,espresso,617,50
998,n13133613,ear,617,50
511,n03100240,convertible,616,50
90,n01820546,lorikeet,614,50
222,n02104029,kuvasz,614,50
411,n02730930,apron,613,50
436,n02814533,beach_wagon,613,50
452,n02869837,bonnet,613,50
853,n04417672,thatch,613,50
233,n02106382,Bouvier_des_Flandres,612,50
676,n03803284,muzzle,611,50
386,n02504458,African_elephant,610,50
500,n03042490,cliff_dwelling,610,50
899,n04560804,water_jug,610,50
733,n03976657,pole,608,50
817,n04285008,sports_car,608,50
885,n04525038,velvet,607,50
760,n04070727,refrigerator,606,50
837,n04356056,sunglasses,606,50
921,n07248320,book_jacket,606,50
605,n03584254,iPod,605,50
705,n03895866,passenger_car,605,50
788,n04200800,shoe_shop,605,50
811,n04265275,space_heater,605,50
890,n04540053,volleyball,605,50
938,n07715103,cauliflower,605,50
46,n01693334,green_lizard,603,50
440,n02823428,beer_bottle,603,50
782,n04152593,screen,603,50
387,n02509815,lesser_panda,602,50
777,n04141327,scabbard,602,50
973,n09256479,coral_reef,602,50
525,n03160309,dam,601,50
666,n03786901,mortar,601,50
393,n02607072,anemone_fish,600,50
69,n01768244,trilobite,599,50
660,n03776460,mobile_home,599,50
692,n03871628,packet,599,50
824,n04325704,stole,599,50
567,n03400231,frying_pan,598,50
832,n04346328,stupa,598,50
119,n01978455,rock_crab,597,50
145,n02056570,king_penguin,596,50
896,n04553703,washbasin,596,50
720,n03937543,pill_bottle,595,50
922,n07565083,menu,595,50
997,n13054560,bolete,595,50
143,n02037110,oystercatcher,594,50
185,n02094114,Norfolk_terrier,594,50
425,n02793495,barn,594,50
842,n04371430,swimming_trunks,594,50
291,n02129165,lion,593,50
12,n01532829,house_finch,591,50
134,n02012849,crane,591,50
285,n02124075,Egyptian_cat,591,50
704,n03891332,parking_meter,591,50
565,n03393912,freight_car,590,50
457,n02883205,bow_tie,589,50
466,n02917067,bullet_train,589,50
278,n02119789,kit_fox,588,50
518,n03127747,crash_helmet,588,50
155,n02086240,Shih-Tzu,587,50
873,n04486054,triumphal_arch,587,50
887,n04532106,vestment,587,50
492,n03014705,chest,586,50
374,n02488291,langur,585,50
437,n02814860,beacon,585,50
532,n03201208,dining_table,585,50
675,n03796401,moving_van,585,50
917,n06596364,comic_book,585,50
988,n12267677,acorn,585,50
7,n01514668,cock,584,50
89,n01819313,sulphur-crested_cockatoo,584,50
283,n02123394,Persian_cat,584,50
32,n01644900,tailed_frog,583,50
319,n02268443,dragonfly,583,50
557,n03355925,flagpole,583,50
708,n03903868,pedestal,583,50
747,n04023962,punching_bag,583,50
808,n04259630,sombrero,583,50
909,n04596742,wok,583,50
941,n07717410,acorn_squash,583,50
982,n10148035,groom,583,50
441,n02823750,beer_glass,582,50
496,n03026506,Christmas_stocking,582,50
932,n07695742,pretzel,582,50
445,n02837789,bikini,581,50
568,n03404251,fur_coat,581,50
725,n03950228,pitcher,580,50
584,n03476684,hair_slide,579,50
519,n03127925,crate,578,50
625,n03662601,lifeboat,578,50
635,n03706229,magnetic_compass,578,50
166,n02089867,Walker_hound,577,50
173,n02091244,Ibizan_hound,577,50
480,n02977058,cash_machine,577,50
877,n04501370,turnstile,577,50
910,n04597913,wooden_spoon,577,50
87,n01817953,African_grey,576,50
308,n02190166,fly,576,50
447,n02841315,binoculars,576,50
845,n04376876,syringe,575,50
621,n03649909,lawn_mower,574,50
693,n03873416,paddle,574,50
858,n04435653,tile_roof,574,50
61,n01742172,boa_constrictor,573,50
81,n01796340,ptarmigan,573,50
338,n02364673,guinea_pig,573,50
879,n04507155,umbrella,573,50
970,n09193705,alp,573,50
570,n03424325,gasmask,572,50
756,n04049303,rain_barrel,572,50
146,n02058221,albatross,571,50
208,n02099712,Labrador_retriever,571,50
400,n02669723,academic_gown,571,50
633,n03692522,loupe,571,50
779,n04146614,school_bus,571,50
372,n02486410,baboon,570,50
731,n03970156,plunger,570,50
533,n03207743,dishrag,569,50
924,n07583066,guacamole,569,50
981,n09835506,ballplayer,569,50
78,n01776313,tick,568,50
186,n02094258,Norwich_terrier,568,50
383,n02497673,Madagascar_cat,568,50
467,n02927161,butcher_shop,568,50
485,n02988304,CD_player,568,50
916,n06359193,web_site,568,50
945,n07720875,bell_pepper,568,50
286,n02125311,cougar,566,50
495,n03018349,china_cabinet,566,50
367,n02481823,chimpanzee,565,50
377,n02490219,marmoset,565,50
427,n02795169,barrel,565,50
683,n03838899,oboe,565,50
914,n04612504,yawl,565,50
19,n01592084,chickadee,564,50
281,n02123045,tabby,564,50
375,n02488702,colobus,564,50
604,n03544143,hourglass,564,50
734,n03977966,police_van,564,50
759,n04069434,reflex_camera,564,50
11,n01531178,goldfinch,563,50
209,n02099849,Chesapeake_Bay_retriever,563,50
443,n02834397,bib,563,50
677,n03804744,nail,563,50
737,n03983396,pop_bottle,563,50
928,n07614500,ice_cream,563,50
314,n02233338,cockroach,562,50
449,n02859443,boathouse,562,50
730,n03967562,plow,562,50
951,n07749582,lemon,562,50
534,n03207941,dishwasher,561,50
594,n03495258,harp,561,50
852,n04409515,tennis_ball,561,50
926,n07590611,hot_pot,561,50
105,n01882714,koala,560,50
358,n02443114,polecat,560,50
911,n04599235,wool,560,50
954,n07753592,banana,560,50
994,n13040303,stinkhorn,560,50
234,n02106550,Rottweiler,559,50
384,n02500267,indri,559,50
745,n04009552,projector,559,50
809,n04263257,soup_bowl,559,50
857,n04429376,throne,559,50
913,n04606251,wreck,559,50
940,n07716906,spaghetti_squash,559,50
88,n01818515,macaw,558,50
365,n02480495,orangutan,558,50
407,n02701002,ambulance,558,50
490,n03000247,chain_mail,558,50
627,n03670208,limousine,558,50
927,n07613480,trifle,558,50
309,n02206856,bee,557,50
976,n09399592,promontory,557,50
76,n01774750,tarantula,556,50
334,n02346627,porcupine,556,50
351,n02422106,hartebeest,556,50
606,n03584829,iron,556,50
727,n03956157,planetarium,556,50
801,n04251144,snorkel,556,50
563,n03388183,fountain_pen,555,50
614,n03617480,kimono,555,50
741,n03998194,prayer_rug,555,50
40,n01682714,American_chameleon,554,50
50,n01698640,American_alligator,554,50
116,n01955084,chiton,554,50
123,n01984695,spiny_lobster,554,50
697,n03877472,pajama,554,50
794,n04209239,shower_curtain,554,50
299,n02138441,meerkat,552,50
337,n02363005,beaver,552,50
472,n02951358,canoe,552,50
589,n03483316,hand_blower,552,50
22,n01614925,bald_eagle,551,50
296,n02134084,ice_bear,551,50
818,n04286575,spotlight,551,50
847,n04389033,tank,551,50
312,n02229544,cricket,550,50
434,n02808304,bath_towel,550,50
665,n03785016,moped,550,50
833,n04347754,submarine,550,50
272,n02114855,coyote,549,50
307,n02177972,weevil,549,50
416,n02777292,balance_beam,549,50
785,n04162706,seat_belt,549,50
823,n04317175,stethoscope,549,50
96,n01843383,toucan,548,50
243,n02108422,bull_mastiff,548,50
370,n02484975,guenon,548,50
401,n02672831,accordion,548,50
755,n04044716,radio_telescope,548,50
475,n02965783,car_mirror,547,50
494,n03017168,chime,547,50
595,n03496892,harvester,547,50
17,n01580077,jay,546,50
599,n03530642,honeycomb,546,50
94,n01833805,hummingbird,545,50
108,n01914609,sea_anemone,545,50
293,n02130308,cheetah,545,50
362,n02447366,badger,545,50
366,n02480855,gorilla,545,50
512,n03109150,corkscrew,545,50
581,n03459775,grille,545,50
592,n03492542,hard_disc,545,50
650,n03759954,microphone,545,50
920,n06874185,traffic_light,545,50
931,n07693725,bagel,545,50
112,n01943899,conch,544,50
597,n03527444,holster,544,50
851,n04404412,television,544,50
23,n01616318,vulture,543,50
422,n02790996,barbell,543,50
428,n02797295,barrow,543,50
865,n04462240,toyshop,543,50
48,n01695060,Komodo_dragon,542,50
131,n02009229,little_blue_heron,542,50
137,n02018207,American_coot,542,50
289,n02128757,snow_leopard,542,50
292,n02129604,tiger,542,50
481,n02978881,cassette,542,50
74,n01773797,garden_spider,541,50
193,n02096294,Australian_terrier,541,50
303,n02168699,long-horned_beetle,541,50
328,n02319095,sea_urchin,541,50
332,n02328150,Angora,541,50
391,n02536864,coho,541,50
813,n04270147,spatula,541,50
883,n04522168,vase,541,50
886,n04525305,vending_machine,541,50
29,n01632777,axolotl,540,50
379,n02492660,howler_monkey,540,50
415,n02776631,bakery,540,50
961,n07860988,dough,540,50
989,n12620546,hip,540,50
118,n01978287,Dungeness_crab,539,50
491,n03000684,chain_saw,539,50
529,n03188531,diaper,539,50
54,n01729322,hognose_snake,538,50
266,n02113712,miniature_poodle,538,50
357,n02442845,mink,538,50
497,n03028079,church,538,50
895,n04552348,warplane,538,50
469,n02939185,caldron,537,50
498,n03032252,cinema,537,50
536,n03216828,dock,537,50
611,n03598930,jigsaw_puzzle,537,50
656,n03770679,minivan,537,50
26,n01630670,common_newt,536,50
77,n01775062,wolf_spider,536,50
93,n01829413,hornbill,536,50
240,n02107908,Appenzeller,536,50
277,n02119022,red_fox,536,50
805,n04254680,soccer_ball,536,50
18,n01582220,magpie,535,50
552,n03325584,feather_boa,535,50
575,n03445924,golfcart,535,50
583,n03467068,guillotine,535,50
685,n03841143,odometer,535,50
767,n04116512,rubber_eraser,535,50
905,n04590129,window_shade,535,50
561,n03384352,forklift,534,50
571,n03425413,gas_pump,534,50
558,n03372029,flute,533,50
696,n03876231,paintbrush,533,50
934,n07697537,hotdog,533,50
39,n01677366,common_iguana,532,50
483,n02980441,castle,532,50
577,n03447721,gong,532,50
770,n04120489,running_shoe,532,50
13,n01534433,junco,531,50
70,n01770081,harvestman,531,50
191,n02096051,Airedale,531,50
302,n02167151,ground_beetle,531,50
454,n02871525,bookshop,531,50
639,n03710721,maillot,531,50
701,n03888257,parachute,531,50
2,n01484850,great_white_shark,530,50
269,n02114367,timber_wolf,530,50
669,n03788365,mosquito_net,530,50
129,n02006656,spoonbill,529,50
288,n02128385,leopard,529,50
364,n02457408,three-toed_sloth,529,50
515,n03124170,cowboy_hat,529,50
630,n03680355,Loafer,528,50
835,n04355338,sundial,528,50
969,n07932039,eggnog,528,50
72,n01773157,black_and_gold_garden_spider,527,50
271,n02114712,red_wolf,527,50
284,n02123597,Siamese_cat,527,50
431,n02804414,bassinet,527,50
710,n03908714,pencil_sharpener,527,50
37,n01669191,box_turtle,526,50
55,n01729977,green_snake,526,50
139,n02025239,ruddy_turnstone,526,50
140,n02027492,red-backed_sandpiper,526,50
335,n02356798,fox_squirrel,526,50
628,n03673027,liner,526,50
882,n04517823,vacuum,526,50
97,n01847000,drake,525,50
276,n02117135,hyena,525,50
368,n02483362,gibbon,525,50
555,n03345487,fire_engine,525,50
569,n03417042,garbage_truck,525,50
840,n04367480,swab,525,50
876,n04493381,tub,525,50
92,n01828970,bee_eater,524,50
290,n02128925,jaguar,524,50
507,n03075370,combination_lock,524,50
617,n03630383,lab_coat,524,50
870,n04482393,tricycle,524,50
620,n03642806,laptop,523,50
878,n04505470,typewriter_keyboard,523,50
897,n04554684,washer,523,50
178,n02092339,Weimaraner,522,50
748,n04026417,purse,522,50
772,n04127249,safety_pin,522,50
836,n04355933,sunglass,522,50
100,n01860187,black_swan,521,50
104,n01877812,wallaby,521,50
295,n02133161,American_black_bear,521,50
773,n04131690,saltshaker,521,50
943,n07718472,cucumber,521,50
24,n01622779,great_grey_owl,520,50
251,n02110341,dalmatian,520,50
356,n02441942,weasel,520,50
736,n03982430,pool_table,520,50
820,n04310018,steam_locomotive,520,50
953,n07753275,pineapple,520,50
16,n01560419,bulbul,519,50
42,n01687978,agama,519,50
84,n01806143,peacock,519,50
408,n02704792,amphibian,519,50
762,n04081281,restaurant,519,50
15,n01558993,robin,518,50
57,n01735189,garter_snake,518,50
264,n02113186,Cardigan,518,50
331,n02326432,hare,518,50
848,n04392985,tape_player,518,50
127,n02002556,white_stork,517,50
378,n02492035,capuchin,517,50
544,n03259280,Dutch_oven,517,50
723,n03944341,pinwheel,517,50
743,n04005630,prison,517,50
775,n04136333,sarong,517,50
859,n04442312,toaster,517,50
884,n04523525,vault,517,50
939,n07716358,zucchini,517,50
527,n03180011,desktop_computer,516,50
280,n02120505,grey_fox,515,50
300,n02165105,tiger_beetle,515,50
626,n03666591,lighter,515,50
948,n07742313,Granny_Smith,515,50
102,n01872401,echidna,514,50
138,n02018795,bustard,514,50
371,n02486261,patas,514,50
603,n03538406,horse_cart,514,50
796,n04229816,ski_mask,514,50
869,n04479046,trench_coat,514,50
510,n03095699,container_ship,513,50
729,n03961711,plate_rack,513,50
791,n04204347,shopping_cart,513,50
889,n04536866,violin,513,50
9,n01518878,ostrich,512,50
350,n02417914,ibex,512,50
56,n01734418,king_snake,511,50
631,n03690938,lotion,511,50
799,n04239074,sliding_door,511,50
838,n04357314,sunscreen,511,50
968,n07930864,cup,511,50
33,n01664065,loggerhead,510,50
91,n01824575,coucal,510,50
132,n02009912,American_egret,510,50
279,n02120079,Arctic_fox,510,50
287,n02127052,lynx,510,50
373,n02487347,macaque,510,50
493,n03016953,chiffonier,510,50
653,n03764736,milk_can,510,50
902,n04579432,whistle,510,50
396,n02643566,lionfish,509,50
405,n02692877,airship,509,50
545,n03271574,electric_fan,509,50
554,n03344393,fireboat,509,50
560,n03379051,football_helmet,509,50
297,n02134418,sloth_bear,508,50
348,n02412080,ram,508,50
460,n02894605,breakwater,508,50
522,n03134739,croquet_ball,508,50
654,n03769881,minibus,508,50
658,n03775071,mitten,508,50
711,n03916031,perfume,508,50
776,n04141076,sax,508,50
965,n07880968,burrito,508,50
342,n02396427,wild_boar,507,50
679,n03814906,necklace,507,50
778,n04141975,scale,507,50
513,n03110669,cornet,506,50
580,n03457902,greenhouse,506,50
703,n03891251,park_bench,506,50
298,n02137549,mongoose,505,50
327,n02317335,starfish,505,50
369,n02483708,siamang,505,50
382,n02494079,squirrel_monkey,505,50
403,n02687172,aircraft_carrier,505,50
588,n03482405,hamper,505,50
787,n04192698,shield,505,50
523,n03141823,crutch,504,50
598,n03529860,home_theater,504,50
690,n03868242,oxcart,504,50
715,n03929855,pickelhaube,504,50
722,n03942813,ping-pong_ball,504,50
814,n04273569,speedboat,504,50
340,n02391049,zebra,503,50
412,n02747177,ashcan,503,50
455,n02877765,bottlecap,503,50
520,n03131574,crib,503,50
647,n03733805,measuring_cup,503,50
661,n03777568,Model_T,503,50
789,n04201297,shoji,503,50
906,n04591157,Windsor_tie,503,50
35,n01667114,mud_turtle,502,50
36,n01667778,terrapin,502,50
321,n02276258,admiral,502,50
487,n02992529,cellular_telephone,502,50
596,n03498962,hatchet,502,50
907,n04591713,wine_bottle,502,50
6,n01498041,stingray,501,50
344,n02398521,hippopotamus,501,50
385,n02504013,Indian_elephant,501,50
388,n02510455,giant_panda,501,50
451,n02865351,bolo_tie,501,50
667,n03787032,mortarboard,501,50
769,n04118776,rule,501,50
803,n04252225,snowplow,501,50
955,n07754684,jackfruit,501,50
51,n01704323,triceratops,500,50
63,n01748264,Indian_cobra,500,50
263,n02113023,Pembroke,500,50
361,n02445715,skunk,500,50
390,n02526121,eel,500,50
579,n03452741,grand_piano,500,50
698,n03877845,palace,500,50
904,n04589890,window_screen,500,50
381,n02493793,spider_monkey,499,50
464,n02910353,buckle,499,50
34,n01665541,leatherback_turtle,498,50
461,n02895154,breastplate,498,50
674,n03794056,mousetrap,498,50
65,n01751748,sea_snake,497,50
141,n02028035,redshank,497,50
333,n02342885,hamster,497,50
641,n03720891,maraca,497,50
742,n04004767,printer,497,50
893,n04548362,wallet,497,50
903,n04584207,wig,497,50
609,n03594945,jeep,496,50
863,n04458633,totem_pole,496,50
990,n12768682,buckeye,496,50
8,n01514859,hen,495,50
444,n02835271,bicycle-built-for-two,495,50
556,n03347037,fire_screen,495,50
566,n03394916,French_horn,495,50
673,n03793489,mouse,495,50
844,n04372370,switch,495,50
85,n01806567,quail,494,50
419,n02786058,Band_Aid,494,50
551,n03314780,face_powder,494,50
651,n03761084,microwave,494,50
717,n03930630,pickup,494,50
783,n04153751,screw,494,50
871,n04483307,trimaran,494,50
919,n06794110,street_sign,494,50
986,n12057211,yellow_lady's_slipper,494,50
49,n01697457,African_crocodile,493,50
210,n02100236,German_short-haired_pointer,493,50
346,n02408429,water_buffalo,493,50
397,n02655020,puffer,493,50
564,n03388549,four-poster,493,50
657,n03773504,missile,493,50
662,n03777754,modem,493,50
802,n04252077,snowmobile,493,50
966,n07892512,red_wine,493,50
991,n12985857,coral_fungus,493,50
120,n01980166,fiddler_crab,492,50
184,n02093991,Irish_terrier,492,50
624,n03661043,library,492,50
637,n03710193,mailbox,492,50
643,n03724870,mask,492,50
700,n03887697,paper_towel,492,50
751,n04037443,racer,492,50
843,n04371774,swing,492,50
942,n07717556,butternut_squash,492,50
110,n01924916,flatworm,491,50
124,n01985128,crayfish,491,50
161,n02088238,basset,491,50
330,n02325366,wood_rabbit,491,50
442,n02825657,bell_cote,491,50
686,n03843555,oil_filter,491,50
757,n04065272,recreational_vehicle,491,50
484,n02981792,catamaran,490,50
846,n04380533,table_lamp,490,50
136,n02017213,European_gallinule,489,50
578,n03450230,gown,489,50
582,n03461385,grocery_store,489,50
798,n04238763,slide_rule,489,50
908,n04592741,wing,489,50
14,n01537544,indigo_bunting,488,50
130,n02007558,flamingo,488,50
162,n02088364,beagle,488,50
180,n02093428,American_Staffordshire_terrier,488,50
648,n03742115,medicine_chest,488,50
732,n03976467,Polaroid_camera,488,50
795,n04228054,ski,488,50
255,n02111129,Leonberg,487,50
336,n02361337,marmot,487,50
360,n02444819,otter,487,50
420,n02787622,banjo,487,50
459,n02892767,brassiere,487,50
504,n03063599,coffee_mug,487,50
203,n02098286,West_Highland_white_terrier,486,50
262,n02112706,Brabancon_griffon,486,50
549,n03291819,envelope,486,50
764,n04090263,rifle,486,50
797,n04235860,sleeping_bag,486,50
864,n04461696,tow_truck,486,50
3,n01491361,tiger_shark,485,50
20,n01601694,water_ouzel,485,50
433,n02807133,bathing_cap,485,50
450,n02860847,bobsled,485,50
468,n02930766,cab,485,50
489,n03000134,chainlink_fence,485,50
539,n03223299,doormat,485,50
816,n04277352,spindle,485,50
987,n12144580,corn,485,50
993,n13037406,gyromitra,485,50
44,n01689811,alligator_lizard,484,50
231,n02106030,collie,484,50
537,n03218198,dogsled,484,50
891,n04542943,waffle_iron,484,50
58,n01737021,water_snake,483,50
875,n04487394,trombone,483,50
894,n04550184,wardrobe,483,50
310,n02219486,ant,482,50
702,n03888605,parallel_bars,482,50
750,n04033995,quilt,482,50
985,n11939491,daisy,482,50
270,n02114548,white_wolf,481,50
376,n02489166,proboscis_monkey,481,50
389,n02514041,barracouta,481,50
721,n03938244,pillow,481,50
790,n04204238,shopping_basket,481,50
930,n07684084,French_loaf,481,50
66,n01753488,horned_viper,480,50
192,n02096177,cairn,480,50
206,n02099429,curly-coated_retriever,480,50
413,n02749479,assault_rifle,480,50
892,n04548280,wall_clock,480,50
429,n02799071,baseball,479,50
453,n02870880,bookcase,479,50
618,n03633091,ladle,479,50
784,n04154565,screwdriver,479,50
933,n07697313,cheeseburger,479,50
217,n02102040,English_springer,477,50
219,n02102318,cocker_spaniel,477,50
752,n04039381,racket,477,50
73,n01773549,barn_spider,476,50
144,n02051845,pelican,475,50
363,n02454379,armadillo,475,50
670,n03791053,motor_scooter,475,50
861,n04447861,toilet_seat,475,50
912,n04604644,worm_fence,475,50
971,n09229709,bubble,475,50
642,n03721384,marimba,474,50
688,n03857828,oscilloscope,474,50
949,n07745940,strawberry,474,50
188,n02095314,wire-haired_fox_terrier,473,50
282,n02123159,tiger_cat,473,50
473,n02951585,can_opener,473,50
983,n10565667,scuba_diver,473,50
4,n01494475,hammerhead,472,50
64,n01749939,green_mamba,472,50
121,n01981276,king_crab,472,50
227,n02105412,kelpie,472,50
258,n02111889,Samoyed,472,50
423,n02791124,barber_chair,472,50
486,n02992211,cello,472,50
586,n03478589,half_track,472,50
872,n04485082,tripod,472,50
984,n11879895,rapeseed,472,50
999,n15075141,toilet_tissue,472,50
640,n03717622,manhole_cover,471,50
766,n04111531,rotisserie,471,50
482,n02979186,cassette_player,470,50
613,n03602883,joystick,470,50
59,n01739381,vine_snake,469,50
521,n03133878,Crock_Pot,469,50
718,n03933933,pier,469,50
828,n04332243,strainer,469,50
53,n01728920,ringneck_snake,468,50
106,n01883070,wombat,468,50
200,n02097474,Tibetan_terrier,468,50
418,n02783161,ballpoint,468,50
506,n03065424,coil,468,50
644,n03729826,matchstick,468,50
780,n04147183,schooner,468,50
980,n09472597,volcano,468,50
117,n01968897,chambered_nautilus,467,50
249,n02110063,malamute,467,50
380,n02493509,titi,467,50
538,n03220513,dome,467,50
728,n03958227,plastic_bag,467,50
771,n04125021,safe,467,50
841,n04370456,sweatshirt,467,50
898,n04557648,water_bottle,467,50
38,n01675722,banded_gecko,466,50
82,n01797886,ruffed_grouse,466,50
86,n01807496,partridge,466,50
956,n07760859,custard_apple,466,50
5,n01496331,electric_ray,465,50
174,n02091467,Norwegian_elkhound,465,50
476,n02966193,carousel,465,50
499,n03041632,cleaver,465,50
524,n03146219,cuirass,465,50
591,n03485794,handkerchief,465,50
623,n03658185,letter_opener,465,50
355,n02437616,llama,463,50
409,n02708093,analog_clock,463,50
426,n02794156,barometer,463,50
531,n03197337,digital_watch,463,50
547,n03272562,electric_locomotive,463,50
610,n03595614,jersey,463,50
638,n03710637,maillot,463,50
601,n03534580,hoopskirt,461,50
629,n03676483,lipstick,461,50
712,n03920288,Petri_dish,461,50
952,n07753113,fig,461,50
45,n01692333,Gila_monster,460,50
148,n02071294,killer_whale,460,50
237,n02107312,miniature_pinscher,460,50
550,n03297495,espresso_maker,460,50
854,n04418357,theater_curtain,460,50
540,n03240683,drilling_platform,459,50
706,n03899768,patio,459,50
822,n04311174,steel_drum,459,50
901,n04579145,whiskey_jug,459,50
239,n02107683,Bernese_mountain_dog,458,50
681,n03832673,notebook,458,50
713,n03924679,photocopier,458,50
