level,node_name,parent_name,class_count,train_count,val_count,path
5,feed,food,1,458,50,entity > physical entity > matter > substance > food > feed
5,foodstuff,food,4,2272,200,entity > physical entity > matter > substance > food > foodstuff
5,nutriment,food,12,7083,600,entity > physical entity > matter > substance > food > nutriment
5,paper,material,1,472,50,entity > physical entity > matter > substance > material > paper
5,valley,natural depression,1,730,50,entity > physical entity > object > geological formation > natural depression > valley
5,mountain,natural elevation,2,1041,100,entity > physical entity > object > geological formation > natural elevation > mountain
5,promontory,natural elevation,1,557,50,entity > physical entity > object > geological formation > natural elevation > promontory
5,ridge,natural elevation,2,1304,100,entity > physical entity > object > geological formation > natural elevation > ridge
5,lakeside,shore,1,753,50,entity > physical entity > object > geological formation > shore > lakeside
5,seashore,shore,1,1268,50,entity > physical entity > object > geological formation > shore > seashore
5,geyser,spring,1,791,50,entity > physical entity > object > geological formation > spring > geyser
5,geographic point,point,1,540,50,entity > physical entity > object > location > point > geographic point
5,piece of cloth,piece,5,2639,250,entity > physical entity > object > part > piece > piece of cloth
5,article,artifact,4,2049,200,entity > physical entity > object > whole > artifact > article
5,commodity,artifact,12,6379,600,entity > physical entity > object > whole > artifact > commodity
5,covering,artifact,90,48033,4500,entity > physical entity > object > whole > artifact > covering
5,decoration,artifact,1,507,50,entity > physical entity > object > whole > artifact > decoration
5,fabric,artifact,2,1167,100,entity > physical entity > object > whole > artifact > fabric
5,instrumentality,artifact,347,186065,17350,entity > physical entity > object > whole > artifact > instrumentality
5,padding,artifact,1,481,50,entity > physical entity > object > whole > artifact > padding
5,plaything,artifact,1,627,50,entity > physical entity > object > whole > artifact > plaything
5,sheet,artifact,2,1069,100,entity > physical entity > object > whole > artifact > sheet
5,structure,artifact,55,30860,2750,entity > physical entity > object > whole > artifact > structure
5,surface,artifact,1,455,50,entity > physical entity > object > whole > artifact > surface
5,organism,living thing,410,224317,20500,entity > physical entity > object > whole > living thing > organism
5,plant part,natural object,6,3195,300,entity > physical entity > object > whole > natural object > plant part
6,ball,sphere,1,475,50,entity > abstraction > attribute > shape > round shape > sphere > ball
6,traffic light,light,1,545,50,entity > abstraction > communication > signal > visual signal > light > traffic light
6,bread,baked goods,3,1608,150,entity > physical entity > matter > solid > food > baked goods > bread
6,edible fruit,produce,10,5334,500,entity > physical entity > matter > solid > food > produce > edible fruit
6,vegetable,produce,13,7513,650,entity > physical entity > matter > solid > food > produce > vegetable
6,alcohol,beverage,3,1532,150,entity > physical entity > matter > substance > food > beverage > alcohol
6,coffee,beverage,1,617,50,entity > physical entity > matter > substance > food > beverage > coffee
6,menu,fare,1,595,50,entity > physical entity > matter > substance > food > fare > menu
6,fodder,feed,1,458,50,entity > physical entity > matter > substance > food > feed > fodder
6,concoction,foodstuff,1,540,50,entity > physical entity > matter > substance > food > foodstuff > concoction
6,ingredient,foodstuff,3,1732,150,entity > physical entity > matter > substance > food > foodstuff > ingredient
6,course,nutriment,4,2383,200,entity > physical entity > matter > substance > food > nutriment > course
6,dish,nutriment,8,4700,400,entity > physical entity > matter > substance > food > nutriment > dish
6,tissue,paper,1,472,50,entity > physical entity > matter > substance > material > paper > tissue
6,alp,mountain,1,573,50,entity > physical entity > object > geological formation > natural elevation > mountain > alp
6,volcano,mountain,1,468,50,entity > physical entity > object > geological formation > natural elevation > mountain > volcano
6,bar,ridge,1,702,50,entity > physical entity > object > geological formation > natural elevation > ridge > bar
6,reef,ridge,1,602,50,entity > physical entity > object > geological formation > natural elevation > ridge > reef
6,workplace,geographic point,1,540,50,entity > physical entity > object > location > point > geographic point > workplace
6,bib,piece of cloth,1,563,50,entity > physical entity > object > part > piece > piece of cloth > bib
6,dishrag,piece of cloth,1,569,50,entity > physical entity > object > part > piece > piece of cloth > dishrag
6,handkerchief,piece of cloth,1,465,50,entity > physical entity > object > part > piece > piece of cloth > handkerchief
6,towel,piece of cloth,2,1042,100,entity > physical entity > object > part > piece > piece of cloth > towel
6,ware,article,4,2049,200,entity > physical entity > object > whole > artifact > article > ware
6,consumer goods,commodity,12,6379,600,entity > physical entity > object > whole > artifact > commodity > consumer goods
6,cloak,covering,1,451,50,entity > physical entity > object > whole > artifact > covering > cloak
6,cloth covering,covering,2,976,100,entity > physical entity > object > whole > artifact > covering > cloth covering
6,clothing,covering,48,25918,2400,entity > physical entity > object > whole > artifact > covering > clothing
6,floor cover,covering,2,1040,100,entity > physical entity > object > whole > artifact > covering > floor cover
6,footwear,covering,5,2572,250,entity > physical entity > object > whole > artifact > covering > footwear
6,mask,covering,1,492,50,entity > physical entity > object > whole > artifact > covering > mask
6,protective covering,covering,26,14058,1300,entity > physical entity > object > whole > artifact > covering > protective covering
6,screen,covering,1,503,50,entity > physical entity > object > whole > artifact > covering > screen
6,top,covering,3,1417,150,entity > physical entity > object > whole > artifact > covering > top
6,wrapping,covering,1,606,50,entity > physical entity > object > whole > artifact > covering > wrapping
6,adornment,decoration,1,507,50,entity > physical entity > object > whole > artifact > decoration > adornment
6,velvet,fabric,1,607,50,entity > physical entity > object > whole > artifact > fabric > velvet
6,wool,fabric,1,560,50,entity > physical entity > object > whole > artifact > fabric > wool
6,connection,instrumentality,1,676,50,entity > physical entity > object > whole > artifact > instrumentality > connection
6,container,instrumentality,48,25259,2400,entity > physical entity > object > whole > artifact > instrumentality > container
6,conveyance,instrumentality,72,38780,3600,entity > physical entity > object > whole > artifact > instrumentality > conveyance
6,device,instrumentality,124,67299,6200,entity > physical entity > object > whole > artifact > instrumentality > device
6,equipment,instrumentality,34,18641,1700,entity > physical entity > object > whole > artifact > instrumentality > equipment
6,furnishing,instrumentality,22,11276,1100,entity > physical entity > object > whole > artifact > instrumentality > furnishing
6,implement,instrumentality,36,18852,1800,entity > physical entity > object > whole > artifact > instrumentality > implement
6,medium,instrumentality,1,585,50,entity > physical entity > object > whole > artifact > instrumentality > medium
6,system,instrumentality,3,1790,150,entity > physical entity > object > whole > artifact > instrumentality > system
6,toiletry,instrumentality,6,2907,300,entity > physical entity > object > whole > artifact > instrumentality > toiletry
6,cushion,padding,1,481,50,entity > physical entity > object > whole > artifact > padding > cushion
6,teddy,plaything,1,627,50,entity > physical entity > object > whole > artifact > plaything > teddy
6,board,sheet,1,652,50,entity > physical entity > object > whole > artifact > sheet > board
6,plate,sheet,1,417,50,entity > physical entity > object > whole > artifact > sheet > plate
6,altar,structure,1,623,50,entity > physical entity > object > whole > artifact > structure > altar
6,arch,structure,1,587,50,entity > physical entity > object > whole > artifact > structure > arch
6,area,structure,1,459,50,entity > physical entity > object > whole > artifact > structure > area
6,bridge,structure,3,1900,150,entity > physical entity > object > whole > artifact > structure > bridge
6,building,structure,12,6287,600,entity > physical entity > object > whole > artifact > structure > building
6,building complex,structure,1,446,50,entity > physical entity > object > whole > artifact > structure > building complex
6,coil,structure,1,468,50,entity > physical entity > object > whole > artifact > structure > coil
6,column,structure,2,1122,100,entity > physical entity > object > whole > artifact > structure > column
6,defensive structure,structure,1,532,50,entity > physical entity > object > whole > artifact > structure > defensive structure
6,establishment,structure,9,4994,450,entity > physical entity > object > whole > artifact > structure > establishment
6,fountain,structure,1,651,50,entity > physical entity > object > whole > artifact > structure > fountain
6,housing,structure,4,2407,200,entity > physical entity > object > whole > artifact > structure > housing
6,landing,structure,1,537,50,entity > physical entity > object > whole > artifact > structure > landing
6,memorial,structure,2,1089,100,entity > physical entity > object > whole > artifact > structure > memorial
6,obstruction,structure,10,5816,500,entity > physical entity > object > whole > artifact > structure > obstruction
6,shelter,structure,1,715,50,entity > physical entity > object > whole > artifact > structure > shelter
6,supporting structure,structure,3,1642,150,entity > physical entity > object > whole > artifact > structure > supporting structure
6,tower,structure,1,585,50,entity > physical entity > object > whole > artifact > structure > tower
6,horizontal surface,surface,1,455,50,entity > physical entity > object > whole > artifact > surface > horizontal surface
6,animal,organism,398,218060,19900,entity > physical entity > object > whole > living thing > organism > animal
6,fungus,organism,7,3656,350,entity > physical entity > object > whole > living thing > organism > fungus
6,person,organism,3,1625,150,entity > physical entity > object > whole > living thing > organism > person
6,plant,organism,2,976,100,entity > physical entity > object > whole > living thing > organism > plant
6,plant organ,plant part,6,3195,300,entity > physical entity > object > whole > natural object > plant part > plant organ
7,globule,ball,1,475,50,entity > abstraction > attribute > shape > round shape > sphere > ball > globule
7,bun,bread,1,545,50,entity > physical entity > matter > solid > food > baked goods > bread > bun
7,cracker,bread,1,582,50,entity > physical entity > matter > solid > food > baked goods > bread > cracker
7,loaf of bread,bread,1,481,50,entity > physical entity > matter > solid > food > baked goods > bread > loaf of bread
7,apple,edible fruit,1,515,50,entity > physical entity > matter > solid > food > produce > edible fruit > apple
7,banana,edible fruit,1,560,50,entity > physical entity > matter > solid > food > produce > edible fruit > banana
7,berry,edible fruit,1,474,50,entity > physical entity > matter > solid > food > produce > edible fruit > berry
7,citrus,edible fruit,2,1183,100,entity > physical entity > matter > solid > food > produce > edible fruit > citrus
7,custard apple,edible fruit,1,466,50,entity > physical entity > matter > solid > food > produce > edible fruit > custard apple
7,fig,edible fruit,1,461,50,entity > physical entity > matter > solid > food > produce > edible fruit > fig
7,jackfruit,edible fruit,1,501,50,entity > physical entity > matter > solid > food > produce > edible fruit > jackfruit
7,pineapple,edible fruit,1,520,50,entity > physical entity > matter > solid > food > produce > edible fruit > pineapple
7,pomegranate,edible fruit,1,654,50,entity > physical entity > matter > solid > food > produce > edible fruit > pomegranate
7,artichoke,vegetable,1,677,50,entity > physical entity > matter > solid > food > produce > vegetable > artichoke
7,cardoon,vegetable,1,619,50,entity > physical entity > matter > solid > food > produce > vegetable > cardoon
7,cruciferous vegetable,vegetable,3,1680,150,entity > physical entity > matter > solid > food > produce > vegetable > cruciferous vegetable
7,cucumber,vegetable,1,521,50,entity > physical entity > matter > solid > food > produce > vegetable > cucumber
7,mushroom,vegetable,1,636,50,entity > physical entity > matter > solid > food > produce > vegetable > mushroom
7,root vegetable,vegetable,1,661,50,entity > physical entity > matter > solid > food > produce > vegetable > root vegetable
7,solanaceous vegetable,vegetable,1,568,50,entity > physical entity > matter > solid > food > produce > vegetable > solanaceous vegetable
7,squash,vegetable,4,2151,200,entity > physical entity > matter > solid > food > produce > vegetable > squash
7,mixed drink,alcohol,2,1039,100,entity > physical entity > matter > substance > food > beverage > alcohol > mixed drink
7,wine,alcohol,1,493,50,entity > physical entity > matter > substance > food > beverage > alcohol > wine
7,espresso,coffee,1,617,50,entity > physical entity > matter > substance > food > beverage > coffee > espresso
7,hay,fodder,1,458,50,entity > physical entity > matter > substance > food > feed > fodder > hay
7,dough,concoction,1,540,50,entity > physical entity > matter > substance > food > foodstuff > concoction > dough
7,flavorer,ingredient,3,1732,150,entity > physical entity > matter > substance > food > foodstuff > ingredient > flavorer
7,dessert,course,3,1743,150,entity > physical entity > matter > substance > food > nutriment > course > dessert
7,entree,course,1,640,50,entity > physical entity > matter > substance > food > nutriment > course > entree
7,burrito,dish,1,508,50,entity > physical entity > matter > substance > food > nutriment > dish > burrito
7,meat loaf,dish,1,627,50,entity > physical entity > matter > substance > food > nutriment > dish > meat loaf
7,pizza,dish,1,665,50,entity > physical entity > matter > substance > food > nutriment > dish > pizza
7,potpie,dish,1,678,50,entity > physical entity > matter > substance > food > nutriment > dish > potpie
7,snack food,dish,2,1012,100,entity > physical entity > matter > substance > food > nutriment > dish > snack food
7,soup,dish,1,649,50,entity > physical entity > matter > substance > food > nutriment > dish > soup
7,stew,dish,1,561,50,entity > physical entity > matter > substance > food > nutriment > dish > stew
7,toilet tissue,tissue,1,472,50,entity > physical entity > matter > substance > material > paper > tissue > toilet tissue
7,sandbar,bar,1,702,50,entity > physical entity > object > geological formation > natural elevation > ridge > bar > sandbar
7,coral reef,reef,1,602,50,entity > physical entity > object > geological formation > natural elevation > ridge > reef > coral reef
7,bakery,workplace,1,540,50,entity > physical entity > object > location > point > geographic point > workplace > bakery
7,bath towel,towel,1,550,50,entity > physical entity > object > part > piece > piece of cloth > towel > bath towel
7,paper towel,towel,1,492,50,entity > physical entity > object > part > piece > piece of cloth > towel > paper towel
7,tableware,ware,4,2049,200,entity > physical entity > object > whole > artifact > article > ware > tableware
7,durables,consumer goods,12,6379,600,entity > physical entity > object > whole > artifact > commodity > consumer goods > durables
7,bedclothes,cloth covering,1,482,50,entity > physical entity > object > whole > artifact > covering > cloth covering > bedclothes
7,dressing,cloth covering,1,494,50,entity > physical entity > object > whole > artifact > covering > cloth covering > dressing
7,accessory,clothing,1,549,50,entity > physical entity > object > whole > artifact > covering > clothing > accessory
7,attire,clothing,1,497,50,entity > physical entity > object > whole > artifact > covering > clothing > attire
7,footwear,clothing,3,1729,150,entity > physical entity > object > whole > artifact > covering > clothing > footwear
7,garment,clothing,26,13639,1300,entity > physical entity > object > whole > artifact > covering > clothing > garment
7,handwear,clothing,1,508,50,entity > physical entity > object > whole > artifact > covering > clothing > handwear
7,headdress,clothing,9,5107,450,entity > physical entity > object > whole > artifact > covering > clothing > headdress
7,nightwear,clothing,1,554,50,entity > physical entity > object > whole > artifact > covering > clothing > nightwear
7,outerwear,clothing,2,1158,100,entity > physical entity > object > whole > artifact > covering > clothing > outerwear
7,protective garment,clothing,2,1066,100,entity > physical entity > object > whole > artifact > covering > clothing > protective garment
7,uniform,clothing,1,622,50,entity > physical entity > object > whole > artifact > covering > clothing > uniform
7,woman's clothing,clothing,1,489,50,entity > physical entity > object > whole > artifact > covering > clothing > woman's clothing
7,mat,floor cover,1,485,50,entity > physical entity > object > whole > artifact > covering > floor cover > mat
7,rug,floor cover,1,555,50,entity > physical entity > object > whole > artifact > covering > floor cover > rug
7,boot,footwear,1,444,50,entity > physical entity > object > whole > artifact > covering > footwear > boot
7,clog,footwear,1,451,50,entity > physical entity > object > whole > artifact > covering > footwear > clog
7,shoe,footwear,3,1677,150,entity > physical entity > object > whole > artifact > covering > footwear > shoe
7,armor,protective covering,3,1528,150,entity > physical entity > object > whole > artifact > covering > protective covering > armor
7,binder,protective covering,1,426,50,entity > physical entity > object > whole > artifact > covering > protective covering > binder
7,blind,protective covering,3,1549,150,entity > physical entity > object > whole > artifact > covering > protective covering > blind
7,cap,protective covering,2,1067,100,entity > physical entity > object > whole > artifact > covering > protective covering > cap
7,mask,protective covering,2,1086,100,entity > physical entity > object > whole > artifact > covering > protective covering > mask
7,roof,protective covering,4,2171,200,entity > physical entity > object > whole > artifact > covering > protective covering > roof
7,screen,protective covering,3,1525,150,entity > physical entity > object > whole > artifact > covering > protective covering > screen
7,shade,protective covering,1,876,50,entity > physical entity > object > whole > artifact > covering > protective covering > shade
7,sheath,protective covering,2,1146,100,entity > physical entity > object > whole > artifact > covering > protective covering > sheath
7,shelter,protective covering,3,1682,150,entity > physical entity > object > whole > artifact > covering > protective covering > shelter
7,shield,protective covering,2,1002,100,entity > physical entity > object > whole > artifact > covering > protective covering > shield
7,shoji,screen,1,503,50,entity > physical entity > object > whole > artifact > covering > screen > shoji
7,cap,top,2,946,100,entity > physical entity > object > whole > artifact > covering > top > cap
7,manhole cover,top,1,471,50,entity > physical entity > object > whole > artifact > covering > top > manhole cover
7,jacket,wrapping,1,606,50,entity > physical entity > object > whole > artifact > covering > wrapping > jacket
7,jewelry,adornment,1,507,50,entity > physical entity > object > whole > artifact > decoration > adornment > jewelry
7,attachment,connection,1,676,50,entity > physical entity > object > whole > artifact > instrumentality > connection > attachment
7,bag,container,5,2526,250,entity > physical entity > object > whole > artifact > instrumentality > container > bag
7,basket,container,2,986,100,entity > physical entity > object > whole > artifact > instrumentality > container > basket
7,bin,container,1,503,50,entity > physical entity > object > whole > artifact > instrumentality > container > bin
7,box,container,6,3011,300,entity > physical entity > object > whole > artifact > instrumentality > container > box
7,can,container,1,510,50,entity > physical entity > object > whole > artifact > instrumentality > container > can
7,case,container,1,497,50,entity > physical entity > object > whole > artifact > instrumentality > container > case
7,cassette,container,1,542,50,entity > physical entity > object > whole > artifact > instrumentality > container > cassette
7,dispenser,container,1,450,50,entity > physical entity > object > whole > artifact > instrumentality > container > dispenser
7,envelope,container,1,486,50,entity > physical entity > object > whole > artifact > instrumentality > container > envelope
7,glass,container,2,1022,100,entity > physical entity > object > whole > artifact > instrumentality > container > glass
7,measure,container,1,503,50,entity > physical entity > object > whole > artifact > instrumentality > container > measure
7,package,container,1,599,50,entity > physical entity > object > whole > artifact > instrumentality > container > package
7,pot,container,1,445,50,entity > physical entity > object > whole > artifact > instrumentality > container > pot
7,receptacle,container,1,426,50,entity > physical entity > object > whole > artifact > instrumentality > container > receptacle
7,savings bank,container,1,443,50,entity > physical entity > object > whole > artifact > instrumentality > container > savings bank
7,shaker,container,2,943,100,entity > physical entity > object > whole > artifact > instrumentality > container > shaker
7,vessel,container,20,11367,1000,entity > physical entity > object > whole > artifact > instrumentality > container > vessel
7,litter,conveyance,1,456,50,entity > physical entity > object > whole > artifact > instrumentality > conveyance > litter
7,public transport,conveyance,4,2326,200,entity > physical entity > object > whole > artifact > instrumentality > conveyance > public transport
7,vehicle,conveyance,67,35998,3350,entity > physical entity > object > whole > artifact > instrumentality > conveyance > vehicle
7,acoustic device,device,1,510,50,entity > physical entity > object > whole > artifact > instrumentality > device > acoustic device
7,airfoil,device,1,489,50,entity > physical entity > object > whole > artifact > instrumentality > device > airfoil
7,blower,device,1,552,50,entity > physical entity > object > whole > artifact > instrumentality > device > blower
7,breathing device,device,2,1198,100,entity > physical entity > object > whole > artifact > instrumentality > device > breathing device
7,electrical device,device,2,961,100,entity > physical entity > object > whole > artifact > instrumentality > device > electrical device
7,electronic device,device,2,1098,100,entity > physical entity > object > whole > artifact > instrumentality > device > electronic device
7,fan,device,1,509,50,entity > physical entity > object > whole > artifact > instrumentality > device > fan
7,filter,device,2,960,100,entity > physical entity > object > whole > artifact > instrumentality > device > filter
7,heater,device,2,1801,100,entity > physical entity > object > whole > artifact > instrumentality > device > heater
7,instrument,device,27,14677,1350,entity > physical entity > object > whole > artifact > instrumentality > device > instrument
7,keyboard,device,2,1202,100,entity > physical entity > object > whole > artifact > instrumentality > device > keyboard
7,lifting device,device,1,649,50,entity > physical entity > object > whole > artifact > instrumentality > device > lifting device
7,lighter,device,1,515,50,entity > physical entity > object > whole > artifact > instrumentality > device > lighter
7,machine,device,14,7666,700,entity > physical entity > object > whole > artifact > instrumentality > device > machine
7,mechanism,device,12,6663,600,entity > physical entity > object > whole > artifact > instrumentality > device > mechanism
7,memory device,device,1,545,50,entity > physical entity > object > whole > artifact > instrumentality > device > memory device
7,musical instrument,device,26,12838,1300,entity > physical entity > object > whole > artifact > instrumentality > device > musical instrument
7,optical device,device,1,522,50,entity > physical entity > object > whole > artifact > instrumentality > device > optical device
7,pick,device,1,443,50,entity > physical entity > object > whole > artifact > instrumentality > device > pick
7,reflector,device,2,1169,100,entity > physical entity > object > whole > artifact > instrumentality > device > reflector
7,remote control,device,1,617,50,entity > physical entity > object > whole > artifact > instrumentality > device > remote control
7,restraint,device,10,5450,500,entity > physical entity > object > whole > artifact > instrumentality > device > restraint
7,runner,device,1,488,50,entity > physical entity > object > whole > artifact > instrumentality > device > runner
7,source of illumination,device,4,2347,200,entity > physical entity > object > whole > artifact > instrumentality > device > source of illumination
7,support,device,4,2244,200,entity > physical entity > object > whole > artifact > instrumentality > device > support
7,trap,device,2,1186,100,entity > physical entity > object > whole > artifact > instrumentality > device > trap
7,apparatus,equipment,1,458,50,entity > physical entity > object > whole > artifact > instrumentality > equipment > apparatus
7,electronic equipment,equipment,11,6330,550,entity > physical entity > object > whole > artifact > instrumentality > equipment > electronic equipment
7,game equipment,equipment,12,6752,600,entity > physical entity > object > whole > artifact > instrumentality > equipment > game equipment
7,gear,equipment,2,905,100,entity > physical entity > object > whole > artifact > instrumentality > equipment > gear
7,photographic equipment,equipment,2,1052,100,entity > physical entity > object > whole > artifact > instrumentality > equipment > photographic equipment
7,rescue equipment,equipment,1,531,50,entity > physical entity > object > whole > artifact > instrumentality > equipment > rescue equipment
7,sports equipment,equipment,5,2613,250,entity > physical entity > object > whole > artifact > instrumentality > equipment > sports equipment
7,furniture,furnishing,22,11276,1100,entity > physical entity > object > whole > artifact > instrumentality > furnishing > furniture
7,bar,implement,1,447,50,entity > physical entity > object > whole > artifact > instrumentality > implement > bar
7,brush,implement,1,533,50,entity > physical entity > object > whole > artifact > instrumentality > implement > brush
7,cleaning implement,implement,2,1214,100,entity > physical entity > object > whole > artifact > instrumentality > implement > cleaning implement
7,eraser,implement,1,535,50,entity > physical entity > object > whole > artifact > instrumentality > implement > eraser
7,oar,implement,1,574,50,entity > physical entity > object > whole > artifact > instrumentality > implement > oar
7,rod,implement,1,608,50,entity > physical entity > object > whole > artifact > instrumentality > implement > rod
7,sharpener,implement,1,527,50,entity > physical entity > object > whole > artifact > instrumentality > implement > sharpener
7,sports implement,implement,1,477,50,entity > physical entity > object > whole > artifact > instrumentality > implement > sports implement
7,stick,implement,5,2675,250,entity > physical entity > object > whole > artifact > instrumentality > implement > stick
7,tool,implement,12,5933,600,entity > physical entity > object > whole > artifact > instrumentality > implement > tool
7,utensil,implement,7,3852,350,entity > physical entity > object > whole > artifact > instrumentality > implement > utensil
7,writing implement,implement,3,1477,150,entity > physical entity > object > whole > artifact > instrumentality > implement > writing implement
7,print media,medium,1,585,50,entity > physical entity > object > whole > artifact > instrumentality > medium > print media
7,communication system,system,2,987,100,entity > physical entity > object > whole > artifact > instrumentality > system > communication system
7,maze,system,1,803,50,entity > physical entity > object > whole > artifact > instrumentality > system > maze
7,cosmetic,toiletry,1,461,50,entity > physical entity > object > whole > artifact > instrumentality > toiletry > cosmetic
7,cream,toiletry,1,511,50,entity > physical entity > object > whole > artifact > instrumentality > toiletry > cream
7,hair spray,toiletry,1,422,50,entity > physical entity > object > whole > artifact > instrumentality > toiletry > hair spray
7,lotion,toiletry,1,511,50,entity > physical entity > object > whole > artifact > instrumentality > toiletry > lotion
7,perfume,toiletry,1,508,50,entity > physical entity > object > whole > artifact > instrumentality > toiletry > perfume
7,powder,toiletry,1,494,50,entity > physical entity > object > whole > artifact > instrumentality > toiletry > powder
7,pillow,cushion,1,481,50,entity > physical entity > object > whole > artifact > padding > cushion > pillow
7,scoreboard,board,1,652,50,entity > physical entity > object > whole > artifact > sheet > board > scoreboard
7,disk,plate,1,417,50,entity > physical entity > object > whole > artifact > sheet > plate > disk
7,triumphal arch,arch,1,587,50,entity > physical entity > object > whole > artifact > structure > arch > triumphal arch
7,patio,area,1,459,50,entity > physical entity > object > whole > artifact > structure > area > patio
7,steel arch bridge,bridge,1,643,50,entity > physical entity > object > whole > artifact > structure > bridge > steel arch bridge
7,suspension bridge,bridge,1,624,50,entity > physical entity > object > whole > artifact > structure > bridge > suspension bridge
7,viaduct,bridge,1,633,50,entity > physical entity > object > whole > artifact > structure > bridge > viaduct
7,farm building,building,1,594,50,entity > physical entity > object > whole > artifact > structure > building > farm building
7,greenhouse,building,1,506,50,entity > physical entity > object > whole > artifact > structure > building > greenhouse
7,library,building,1,492,50,entity > physical entity > object > whole > artifact > structure > building > library
7,outbuilding,building,2,994,100,entity > physical entity > object > whole > artifact > structure > building > outbuilding
7,place of worship,building,3,1585,150,entity > physical entity > object > whole > artifact > structure > building > place of worship
7,planetarium,building,1,556,50,entity > physical entity > object > whole > artifact > structure > building > planetarium
7,restaurant,building,1,519,50,entity > physical entity > object > whole > artifact > structure > building > restaurant
7,theater,building,2,1041,100,entity > physical entity > object > whole > artifact > structure > building > theater
7,plant,building complex,1,446,50,entity > physical entity > object > whole > artifact > structure > building complex > plant
7,obelisk,column,1,626,50,entity > physical entity > object > whole > artifact > structure > column > obelisk
7,totem pole,column,1,496,50,entity > physical entity > object > whole > artifact > structure > column > totem pole
7,fortification,defensive structure,1,532,50,entity > physical entity > object > whole > artifact > structure > defensive structure > fortification
7,institution,establishment,1,517,50,entity > physical entity > object > whole > artifact > structure > establishment > institution
7,place of business,establishment,8,4477,400,entity > physical entity > object > whole > artifact > structure > establishment > place of business
7,dwelling,housing,4,2407,200,entity > physical entity > object > whole > artifact > structure > housing > dwelling
7,dock,landing,1,537,50,entity > physical entity > object > whole > artifact > structure > landing > dock
7,brass,memorial,1,650,50,entity > physical entity > object > whole > artifact > structure > memorial > brass
7,megalith,memorial,1,439,50,entity > physical entity > object > whole > artifact > structure > memorial > megalith
7,barrier,obstruction,10,5816,500,entity > physical entity > object > whole > artifact > structure > obstruction > barrier
7,tent,shelter,1,715,50,entity > physical entity > object > whole > artifact > structure > shelter > tent
7,framework,supporting structure,2,1059,100,entity > physical entity > object > whole > artifact > structure > supporting structure > framework
7,support,supporting structure,1,583,50,entity > physical entity > object > whole > artifact > structure > supporting structure > support
7,beacon,tower,1,585,50,entity > physical entity > object > whole > artifact > structure > tower > beacon
7,platform,horizontal surface,1,455,50,entity > physical entity > object > whole > artifact > surface > horizontal surface > platform
7,chordate,animal,330,179341,16500,entity > physical entity > object > whole > living thing > organism > animal > chordate
7,game,animal,7,3398,350,entity > physical entity > object > whole > living thing > organism > animal > game
7,invertebrate,animal,61,35321,3050,entity > physical entity > object > whole > living thing > organism > animal > invertebrate
7,basidiomycete,fungus,1,623,50,entity > physical entity > object > whole > living thing > organism > fungus > basidiomycete
7,bolete,fungus,1,595,50,entity > physical entity > object > whole > living thing > organism > fungus > bolete
7,coral fungus,fungus,1,493,50,entity > physical entity > object > whole > living thing > organism > fungus > coral fungus
